@timestamp,@billedDuration,@duration,@initDuration,,,,
07:27.1,4084,4083.65,457.18,,,,
18:28.8,3930,3929.26,460.25,,,,
29:31.5,4052,4051.79,467.39,,,,
40:33.7,4046,4045.56,459.6,,,,
51:38.3,4032,4031.85,461.38,,,3987.95,4085.05
02:43.0,3971,3970.63,450.84,,,,
13:48.2,4032,4031.43,462.71,,,,
24:51.3,3917,3916.35,452.76,,,,
35:52.5,3871,3870.27,439.29,,,,
52:52.9,3937,3936.75,448.61,,,,
08:11.6,3973,3972.66,446.33,,,,
19:13.3,3978,3977.34,447.98,,,,
30:16.5,4008,4007.17,450.58,,,,
41:19.0,3998,3997.57,452.29,,,,
52:21.0,4037,4036.21,452.86,,,,
03:24.0,3982,3981.37,448.06,,,,
14:28.5,3765,3764.98,438.73,,,,
25:29.4,4049,4048.9,457.31,,,,
36:32.3,4105,4104.09,464.58,,,,
47:33.7,3992,3991.91,465.2,,,,
